Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome,ProdTaken
46.0,1,3,15.0,3,2,3,4.0,3,3.0,3,2.0,0,5,1,2.0,3,24619.0,1
32.0,1,1,9.0,2,2,4,4.0,0,3.0,1,3.0,0,5,0,3.0,1,22155.0,0
44.0,1,2,6.0,2,1,2,4.0,1,3.0,2,5.0,0,5,1,1.0,2,20985.0,0
42.0,0,1,16.0,3,2,4,4.0,2,3.0,1,,0,4,0,3.0,4,38097.0,0
42.0,1,1,29.0,2,1,2,3.0,4,3.0,2,3.0,0,3,0,0.0,0,30992.0,0
34.0,1,1,16.0,3,2,2,3.0,1,5.0,2,2.0,0,4,0,0.0,2,21125.0,1
20.0,0,3,15.0,3,1,2,3.0,0,3.0,2,2.0,1,4,1,0.0,1,17323.0,1
59.0,1,1,12.0,1,1,3,5.0,3,4.0,1,4.0,1,5,1,2.0,3,29230.0,0
,1,1,6.0,2,2,3,4.0,0,3.0,2,1.0,1,5,0,2.0,1,,1
,0,1,15.0,3,1,3,3.0,0,3.0,2,2.0,0,4,1,1.0,1,18673.0,0
33.0,1,1,13.0,3,2,2,3.0,3,3.0,0,1.0,0,4,0,0.0,3,26691.0,0
29.0,0,1,6.0,2,2,3,5.0,0,3.0,1,2.0,0,2,1,0.0,1,17720.0,0
36.0,1,1,32.0,2,2,3,5.0,1,3.0,3,6.0,0,1,1,1.0,2,22359.0,0
30.0,1,1,9.0,2,2,4,4.0,0,4.0,1,2.0,0,4,1,1.0,1,21381.0,0
40.0,1,3,12.0,1,2,3,4.0,1,3.0,0,5.0,0,2,0,2.0,2,20764.0,1
40.0,1,1,15.0,2,2,2,3.0,0,5.0,2,4.0,0,1,1,1.0,1,17018.0,1
38.0,0,1,12.0,1,2,3,2.0,0,3.0,3,2.0,0,5,1,1.0,1,22178.0,0
46.0,1,2,31.0,3,2,3,4.0,0,4.0,2,3.0,0,4,0,2.0,1,20855.0,0
28.0,1,1,13.0,2,2,3,5.0,0,3.0,1,3.0,0,1,1,2.0,1,21217.0,0
41.0,1,1,11.0,2,2,2,1.0,1,4.0,3,4.0,0,5,1,0.0,2,21870.0,0
27.0,1,3,14.0,3,1,2,3.0,1,4.0,1,2.0,0,1,0,1.0,2,21214.0,0
35.0,1,3,10.0,1,2,2,3.0,3,5.0,3,1.0,1,4,1,1.0,3,24582.0,1
33.0,0,1,,3,1,2,4.0,1,3.0,2,2.0,0,5,1,0.0,2,19508.0,1
27.0,1,3,30.0,3,1,3,5.0,1,3.0,1,2.0,1,1,0,1.0,2,22835.0,0
30.0,0,1,10.0,1,2,2,3.0,0,3.0,2,1.0,1,4,1,0.0,1,17285.0,1
54.0,1,2,25.0,3,2,2,3.0,3,4.0,1,3.0,0,3,1,1.0,3,25725.0,0
19.0,0,1,21.0,3,1,3,4.0,0,3.0,2,3.0,0,5,1,1.0,1,20192.0,0
47.0,1,3,10.0,3,2,3,4.0,4,3.0,0,,0,2,1,1.0,0,36143.0,0
32.0,1,1,6.0,3,2,2,3.0,1,3.0,1,2.0,1,4,1,1.0,2,21162.0,0
40.0,1,3,8.0,3,1,3,3.0,1,4.0,1,4.0,0,3,1,1.0,2,20677.0,0
39.0,1,1,30.0,2,2,3,4.0,1,3.0,1,2.0,0,3,0,2.0,2,24423.0,0
37.0,1,2,15.0,2,2,4,5.0,0,5.0,1,2.0,0,1,0,2.0,1,21020.0,0
38.0,0,1,12.0,3,1,3,5.0,1,3.0,1,1.0,1,2,0,2.0,2,20329.0,0
28.0,1,1,25.0,3,2,3,4.0,0,5.0,0,2.0,0,3,1,2.0,1,18196.0,0
32.0,0,1,19.0,2,1,3,4.0,0,4.0,1,2.0,0,5,1,0.0,1,17743.0,0
,0,1,17.0,2,1,3,2.0,1,3.0,1,1.0,0,3,1,2.0,2,,0
35.0,0,1,7.0,3,2,4,5.0,1,5.0,3,2.0,0,2,1,3.0,2,24021.0,0
33.0,1,1,9.0,3,1,4,4.0,0,4.0,0,3.0,0,4,0,1.0,1,21048.0,0
31.0,1,1,8.0,3,2,4,4.0,0,4.0,1,2.0,1,4,1,3.0,1,22257.0,0
30.0,1,3,10.0,3,1,3,4.0,1,4.0,1,2.0,1,3,1,0.0,2,20209.0,0
54.0,1,1,30.0,2,1,4,4.0,4,3.0,2,8.0,0,5,1,2.0,0,32953.0,0
30.0,1,1,17.0,2,1,4,5.0,0,5.0,2,8.0,1,5,1,2.0,1,21082.0,1
35.0,1,1,6.0,3,1,2,4.0,1,3.0,0,1.0,0,1,1,1.0,2,20363.0,0
39.0,1,1,6.0,3,1,3,3.0,0,3.0,1,1.0,0,3,1,0.0,1,17232.0,0
35.0,1,3,7.0,3,2,4,2.0,1,3.0,1,2.0,0,5,1,3.0,2,28403.0,0
37.0,0,1,16.0,2,2,4,2.0,0,4.0,1,3.0,0,5,1,1.0,1,21488.0,0
43.0,1,1,9.0,3,2,3,4.0,4,5.0,1,,0,3,1,1.0,0,36343.0,0
,0,1,14.0,2,2,3,3.0,1,3.0,1,4.0,1,3,1,1.0,2,,0
26.0,1,3,35.0,2,2,3,5.0,1,3.0,1,4.0,0,4,1,2.0,2,27317.0,0
40.0,0,1,7.0,2,2,3,4.0,2,3.0,1,,1,3,0,2.0,4,37875.0,0
,1,1,6.0,3,2,3,3.0,0,4.0,0,1.0,1,4,1,2.0,1,18579.0,0
43.0,0,1,9.0,2,2,3,4.0,3,3.0,1,4.0,1,3,1,1.0,3,28802.0,0
56.0,1,1,9.0,3,2,4,4.0,2,,1,7.0,1,1,1,1.0,4,38537.0,1
31.0,1,3,23.0,2,2,4,4.0,1,3.0,0,2.0,0,3,0,3.0,2,23979.0,0
41.0,1,1,9.0,3,1,4,5.0,1,3.0,1,8.0,0,5,1,2.0,2,22126.0,0
35.0,0,1,9.0,2,2,2,4.0,0,3.0,0,2.0,0,2,1,1.0,1,16281.0,0
41.0,1,1,13.0,3,1,2,,1,3.0,2,7.0,0,3,1,0.0,2,20003.0,0
36.0,1,3,17.0,3,1,3,4.0,1,3.0,1,5.0,0,1,1,1.0,2,21652.0,0
39.0,0,1,15.0,3,1,3,5.0,1,4.0,1,3.0,1,1,1,1.0,2,20811.0,0
27.0,0,3,7.0,3,2,3,5.0,1,5.0,3,3.0,0,3,0,1.0,2,22972.0,0
51.0,1,1,14.0,3,1,3,5.0,2,3.0,1,,1,4,1,2.0,4,37418.0,0
24.0,1,1,16.0,3,2,3,4.0,0,5.0,0,3.0,0,3,0,2.0,1,21178.0,0
32.0,1,1,31.0,2,2,2,3.0,0,3.0,2,2.0,1,5,0,0.0,1,17795.0,1
32.0,1,3,20.0,3,2,3,4.0,1,5.0,1,4.0,0,2,0,1.0,2,22911.0,1
36.0,1,1,32.0,3,1,3,4.0,3,3.0,1,3.0,1,3,0,2.0,3,29066.0,0
34.0,1,1,26.0,1,1,2,1.0,0,3.0,0,1.0,0,1,1,0.0,1,17585.0,0
31.0,1,2,7.0,2,2,3,4.0,0,3.0,1,2.0,0,1,0,2.0,1,20742.0,0
31.0,1,3,14.0,2,2,2,3.0,3,3.0,1,2.0,0,3,1,0.0,3,25793.0,0
60.0,1,3,32.0,2,0,3,4.0,3,5.0,3,2.0,0,3,1,1.0,3,26315.0,0
34.0,0,1,23.0,1,2,2,4.0,0,3.0,1,1.0,1,5,1,1.0,1,23500.0,1
52.0,1,3,11.0,2,2,3,3.0,3,4.0,3,1.0,1,4,1,1.0,3,23446.0,1
24.0,1,3,14.0,2,2,3,4.0,0,3.0,1,3.0,1,1,1,1.0,1,20953.0,1
40.0,1,1,13.0,3,2,3,5.0,3,5.0,1,6.0,0,4,1,1.0,3,28669.0,0
33.0,0,1,6.0,2,1,2,1.0,1,4.0,0,2.0,1,3,0,1.0,2,20488.0,0
46.0,1,3,27.0,2,1,3,4.0,1,3.0,3,2.0,0,1,1,1.0,2,23528.0,0
41.0,1,1,,3,2,2,3.0,0,5.0,2,3.0,1,4,1,0.0,1,19721.0,0
38.0,0,3,16.0,1,1,2,3.0,1,3.0,2,2.0,1,3,0,1.0,2,20666.0,0
33.0,1,1,15.0,3,2,2,3.0,0,3.0,1,1.0,0,1,0,1.0,1,17781.0,0
55.0,0,1,8.0,2,2,3,3.0,3,4.0,1,4.0,0,1,0,1.0,3,25976.0,0
32.0,1,1,15.0,2,1,3,,0,4.0,2,3.0,0,4,0,2.0,1,19939.0,1
49.0,1,1,24.0,2,2,2,4.0,2,3.0,1,2.0,1,3,0,1.0,4,34502.0,0
,1,3,15.0,2,2,2,4.0,1,5.0,2,1.0,0,2,0,0.0,2,18407.0,1
59.0,0,1,7.0,2,2,3,6.0,1,3.0,1,4.0,1,2,1,2.0,2,24338.0,0
25.0,1,3,16.0,2,2,2,,1,3.0,2,1.0,0,2,0,1.0,2,19950.0,0
28.0,1,1,9.0,3,2,3,4.0,0,4.0,0,2.0,0,5,1,1.0,1,22146.0,0
34.0,1,3,,3,1,2,3.0,1,5.0,2,1.0,1,3,1,0.0,2,19538.0,0
41.0,1,1,23.0,2,0,3,4.0,3,3.0,3,8.0,1,4,1,1.0,3,26623.0,0
25.0,0,3,31.0,3,2,3,4.0,0,3.0,1,2.0,0,4,1,2.0,1,21078.0,0
26.0,0,1,6.0,3,1,3,4.0,0,3.0,1,2.0,0,1,0,0.0,1,17007.0,0
37.0,1,1,16.0,3,2,4,5.0,0,3.0,1,2.0,1,1,1,3.0,1,22066.0,1
33.0,0,1,10.0,1,2,2,3.0,1,4.0,1,6.0,0,1,0,0.0,2,18055.0,0
,1,1,31.0,2,2,2,4.0,1,3.0,2,5.0,0,2,0,1.0,2,18681.0,0
44.0,0,1,17.0,2,1,3,5.0,1,3.0,1,3.0,0,3,1,1.0,2,23935.0,0
30.0,0,1,7.0,2,2,4,6.0,0,3.0,1,3.0,0,2,1,1.0,1,21398.0,0
29.0,1,1,15.0,3,1,2,3.0,0,3.0,1,1.0,0,5,1,1.0,1,17974.0,0
38.0,1,3,13.0,3,1,2,2.0,1,5.0,1,2.0,1,3,0,0.0,2,20605.0,0
41.0,0,1,28.0,2,1,3,3.0,1,3.0,1,4.0,1,5,0,0.0,2,20467.0,0
26.0,0,1,11.0,3,1,2,4.0,0,3.0,1,2.0,1,1,0,1.0,1,17366.0,1
24.0,0,2,16.0,3,2,2,3.0,0,3.0,1,1.0,0,4,1,1.0,1,17145.0,0
26.0,1,1,13.0,3,1,2,4.0,3,5.0,1,1.0,1,4,1,1.0,3,17875.0,1
26.0,2,1,,2,1,3,5.0,0,3.0,1,4.0,0,4,1,2.0,1,,0
44.0,1,1,6.0,3,2,2,3.0,0,3.0,2,7.0,1,4,0,1.0,1,17436.0,0
25.0,1,3,24.0,2,2,3,1.0,1,3.0,0,3.0,0,1,0,0.0,2,21232.0,0
45.0,1,1,36.0,2,2,3,4.0,1,3.0,3,3.0,0,5,1,2.0,2,23219.0,0
30.0,1,3,9.0,3,2,4,5.0,1,4.0,1,4.0,0,4,1,1.0,2,25322.0,0
23.0,1,1,12.0,2,2,3,1.0,0,5.0,0,2.0,1,3,1,2.0,1,16601.0,1
33.0,1,1,17.0,3,2,2,4.0,3,3.0,2,4.0,0,1,0,1.0,3,29922.0,0
60.0,0,3,7.0,2,0,3,5.0,1,3.0,3,2.0,0,5,1,2.0,2,24151.0,0
26.0,1,1,6.0,2,1,2,4.0,0,3.0,1,2.0,1,4,0,0.0,1,17933.0,0
29.0,0,1,20.0,2,1,2,3.0,3,3.0,3,1.0,1,5,1,0.0,3,22553.0,1
58.0,1,1,11.0,1,1,2,4.0,3,4.0,1,3.0,1,5,1,1.0,3,25552.0,0
36.0,1,3,16.0,3,2,2,4.0,3,5.0,1,1.0,0,5,0,0.0,3,22094.0,1
42.0,0,1,9.0,2,0,4,5.0,1,3.0,3,4.0,1,2,0,1.0,2,25489.0,0
35.0,1,3,,3,2,2,3.0,1,3.0,0,1.0,0,3,1,0.0,2,19717.0,0
55.0,1,1,10.0,2,2,3,4.0,4,3.0,0,,0,5,1,2.0,0,36457.0,0
45.0,0,2,7.0,2,2,3,4.0,1,3.0,1,6.0,1,5,1,2.0,2,24421.0,0
56.0,1,3,33.0,3,2,3,5.0,2,3.0,1,3.0,0,3,1,2.0,4,38264.0,0
36.0,0,3,9.0,3,2,2,4.0,3,3.0,0,5.0,0,2,0,1.0,3,24699.0,0
29.0,1,1,29.0,2,2,2,1.0,0,3.0,1,2.0,0,1,1,1.0,1,17700.0,0
32.0,0,1,27.0,2,2,4,4.0,3,3.0,1,5.0,0,3,1,1.0,3,28502.0,1
25.0,1,1,16.0,3,2,4,2.0,0,3.0,1,3.0,0,1,0,1.0,1,23079.0,0
36.0,1,1,11.0,2,2,3,3.0,1,4.0,2,1.0,0,1,1,1.0,2,20914.0,0
33.0,1,3,15.0,1,1,4,5.0,1,4.0,1,3.0,1,1,1,3.0,2,23906.0,0
37.0,1,1,13.0,3,2,1,3.0,3,3.0,2,5.0,0,1,0,0.0,3,28664.0,0
31.0,1,3,11.0,1,2,2,3.0,1,3.0,1,2.0,0,5,0,1.0,2,23346.0,0
35.0,0,1,9.0,2,2,2,4.0,0,3.0,1,2.0,0,1,1,1.0,1,16281.0,0
37.0,0,1,15.0,3,2,2,3.0,0,3.0,0,2.0,1,2,0,0.0,1,17326.0,0
45.0,1,1,12.0,2,2,2,3.0,3,5.0,1,5.0,1,3,1,1.0,3,28245.0,0
38.0,1,1,6.0,2,1,2,3.0,3,3.0,3,5.0,1,1,0,1.0,3,22861.0,0
50.0,1,1,8.0,3,2,3,3.0,4,3.0,0,6.0,0,2,0,1.0,0,32639.0,0
28.0,1,1,7.0,1,2,3,4.0,0,5.0,2,7.0,0,3,1,1.0,1,17080.0,1
28.0,1,3,11.0,3,2,3,,1,3.0,2,2.0,0,3,0,1.0,2,19908.0,0
35.0,0,3,26.0,3,2,4,2.0,1,3.0,3,2.0,1,1,0,1.0,2,23982.0,1
,1,1,30.0,3,2,2,3.0,0,4.0,1,2.0,1,1,0,0.0,1,,1
38.0,0,1,7.0,3,1,2,4.0,3,3.0,1,4.0,1,3,0,1.0,3,32281.0,0
50.0,1,1,35.0,2,2,2,4.0,4,3.0,0,1.0,0,5,1,1.0,0,32046.0,0
26.0,1,3,35.0,2,2,3,5.0,1,3.0,0,4.0,0,4,0,1.0,2,27317.0,0
49.0,1,1,13.0,2,2,2,3.0,3,4.0,1,4.0,0,4,0,1.0,3,25466.0,0
32.0,1,1,30.0,3,2,4,5.0,1,3.0,1,2.0,0,3,0,2.0,2,24260.0,0
24.0,1,1,16.0,3,2,3,4.0,0,5.0,1,3.0,0,3,1,1.0,1,21178.0,0
53.0,1,1,12.0,2,2,2,3.0,1,3.0,2,3.0,0,5,1,0.0,2,17450.0,0
43.0,1,2,9.0,1,2,3,4.0,0,3.0,1,2.0,1,4,1,2.0,1,21374.0,0
32.0,1,1,27.0,2,2,3,4.0,1,3.0,1,3.0,0,5,0,1.0,2,22875.0,0
30.0,0,3,27.0,1,1,3,4.0,0,3.0,1,3.0,0,3,0,2.0,1,20835.0,0
57.0,1,1,15.0,2,1,4,4.0,0,5.0,1,6.0,1,4,1,2.0,1,22935.0,0
38.0,1,3,7.0,2,2,3,5.0,3,3.0,1,7.0,0,1,1,2.0,3,29287.0,1
60.0,1,3,32.0,2,0,5,4.0,3,5.0,3,2.0,0,3,1,2.0,3,26315.0,0
38.0,0,1,8.0,3,1,2,4.0,0,4.0,2,2.0,0,1,1,0.0,1,17440.0,0
33.0,1,1,11.0,2,1,3,4.0,0,3.0,1,2.0,0,1,0,0.0,1,17911.0,0
23.0,1,1,26.0,3,2,4,4.0,0,3.0,0,3.0,0,2,0,2.0,1,21001.0,0
38.0,1,1,14.0,3,2,2,4.0,3,3.0,2,6.0,0,1,0,1.0,3,32342.0,0
37.0,1,3,9.0,3,2,4,5.0,3,3.0,0,3.0,0,2,1,1.0,3,26274.0,0
33.0,1,1,20.0,3,2,2,3.0,0,3.0,1,6.0,1,1,1,1.0,1,17436.0,1
31.0,0,1,10.0,2,2,3,4.0,0,3.0,0,6.0,0,3,0,2.0,1,20775.0,0
46.0,1,3,11.0,2,1,2,4.0,1,5.0,1,6.0,1,4,0,1.0,2,23684.0,0
51.0,1,3,30.0,3,1,2,4.0,1,4.0,2,1.0,1,5,1,1.0,2,17838.0,1
39.0,1,1,12.0,3,2,3,3.0,0,5.0,1,1.0,1,1,1,1.0,1,17404.0,1
38.0,1,3,17.0,2,1,3,5.0,1,3.0,1,4.0,1,4,0,1.0,2,25372.0,0
45.0,1,3,19.0,3,2,2,1.0,4,3.0,2,7.0,1,3,1,0.0,0,33824.0,1
56.0,0,1,9.0,3,2,3,5.0,4,5.0,2,2.0,0,3,1,,0,35434.0,0
39.0,1,1,16.0,2,1,4,4.0,0,3.0,2,3.0,0,1,1,3.0,1,20966.0,0
46.0,0,3,32.0,2,2,3,4.0,1,4.0,3,1.0,0,4,1,2.0,2,22991.0,0
54.0,1,1,31.0,3,2,3,2.0,3,3.0,1,5.0,0,3,0,2.0,3,25683.0,0
31.0,0,2,15.0,2,1,4,5.0,0,3.0,1,8.0,0,5,1,3.0,1,20858.0,1
41.0,0,3,35.0,2,2,3,6.0,3,5.0,1,5.0,0,5,0,2.0,3,29610.0,0
44.0,1,1,10.0,3,2,2,3.0,1,4.0,2,1.0,0,1,1,1.0,2,20933.0,0
30.0,0,1,9.0,2,2,2,3.0,0,3.0,1,5.0,0,3,1,0.0,1,17097.0,0
37.0,1,1,9.0,2,0,3,4.0,1,4.0,3,2.0,1,3,1,1.0,2,24088.0,0
33.0,0,3,28.0,3,2,3,3.0,1,4.0,1,1.0,0,1,0,0.0,2,21146.0,0
45.0,1,1,31.0,2,1,3,4.0,1,3.0,1,1.0,0,4,0,0.0,2,20906.0,0
30.0,1,1,32.0,1,1,4,5.0,0,4.0,1,7.0,0,3,1,3.0,1,21224.0,1
32.0,1,1,9.0,3,1,3,3.0,1,5.0,1,2.0,0,1,1,0.0,2,21725.0,0
43.0,0,1,8.0,2,2,3,3.0,0,3.0,1,7.0,1,3,0,0.0,1,25231.0,1
25.0,0,1,16.0,3,2,3,4.0,0,5.0,3,4.0,1,3,0,2.0,1,21850.0,1
50.0,0,3,,2,2,2,3.0,1,3.0,2,4.0,1,1,1,1.0,2,19728.0,1
31.0,0,3,19.0,2,2,4,5.0,0,5.0,1,3.0,0,5,1,3.0,1,20711.0,1
42.0,1,1,9.0,2,1,3,6.0,0,3.0,1,6.0,1,3,0,1.0,1,21456.0,1
22.0,0,1,32.0,2,1,2,4.0,0,3.0,1,2.0,1,3,0,0.0,1,17814.0,0
47.0,1,1,28.0,3,1,4,4.0,1,4.0,1,6.0,0,3,1,3.0,2,27604.0,1
18.0,0,1,6.0,2,1,3,3.0,0,3.0,2,2.0,0,5,1,1.0,1,16611.0,0
37.0,1,3,16.0,2,1,2,4.0,1,3.0,1,3.0,1,4,0,0.0,2,21694.0,0
28.0,0,3,6.0,3,2,3,4.0,1,3.0,0,2.0,0,3,0,2.0,2,23020.0,0
32.0,0,3,,3,2,3,3.0,1,3.0,1,1.0,0,4,1,1.0,2,,0
50.0,1,3,9.0,3,2,2,4.0,0,3.0,0,2.0,1,4,0,0.0,1,17683.0,1
26.0,0,2,23.0,2,1,2,3.0,0,3.0,1,1.0,1,5,0,1.0,1,17741.0,1
45.0,1,3,8.0,3,1,3,5.0,2,4.0,2,3.0,1,5,0,2.0,4,33824.0,1
45.0,1,3,35.0,3,1,3,2.0,4,3.0,1,5.0,1,1,1,1.0,0,31998.0,0
36.0,1,1,32.0,2,2,3,3.0,1,3.0,1,7.0,0,3,1,0.0,2,20347.0,0
31.0,1,3,35.0,3,1,3,4.0,1,3.0,1,2.0,0,3,1,0.0,2,20468.0,0
29.0,1,1,13.0,1,1,2,3.0,0,3.0,1,4.0,1,4,1,0.0,1,31124.0,1
35.0,1,3,8.0,3,1,3,3.0,0,3.0,0,2.0,0,2,1,0.0,1,17014.0,0
27.0,0,3,8.0,2,2,2,5.0,1,3.0,2,4.0,0,4,1,1.0,2,20071.0,0
51.0,0,3,7.0,2,1,4,4.0,1,3.0,0,2.0,0,2,1,2.0,2,25025.0,0
34.0,1,1,8.0,1,1,3,3.0,1,3.0,3,2.0,0,5,1,1.0,2,21687.0,0
29.0,1,1,7.0,3,1,4,4.0,0,5.0,1,3.0,0,1,1,1.0,1,22269.0,0
50.0,0,3,9.0,3,2,4,5.0,1,4.0,1,4.0,0,3,1,3.0,2,24068.0,0
38.0,0,1,12.0,2,2,3,4.0,1,3.0,1,3.0,0,4,1,1.0,2,20321.0,0
26.0,1,3,12.0,3,2,3,5.0,1,3.0,3,3.0,1,3,0,2.0,2,24422.0,1
40.0,0,1,6.0,2,2,3,4.0,4,4.0,1,2.0,0,1,1,1.0,0,28503.0,0
33.0,0,3,6.0,2,1,2,2.0,1,5.0,0,3.0,0,3,1,0.0,2,20376.0,0
32.0,1,1,11.0,2,2,3,1.0,0,4.0,1,1.0,1,1,1,2.0,1,18298.0,0
43.0,1,1,20.0,3,2,4,2.0,1,5.0,1,7.0,0,4,1,1.0,2,24216.0,0
32.0,1,1,12.0,2,2,2,3.0,0,3.0,2,4.0,0,2,0,1.0,1,18038.0,0
36.0,1,3,23.0,3,2,2,4.0,1,4.0,1,3.0,0,4,1,0.0,2,20507.0,0
39.0,1,1,22.0,2,2,4,5.0,3,3.0,1,2.0,1,5,1,2.0,3,30188.0,0
43.0,0,1,16.0,3,1,4,4.0,0,3.0,3,3.0,0,4,1,2.0,1,22351.0,0
21.0,1,1,18.0,3,1,4,5.0,0,5.0,3,3.0,1,3,1,3.0,1,21278.0,1
32.0,0,1,17.0,3,1,3,4.0,3,3.0,1,6.0,0,1,1,2.0,3,29709.0,0
33.0,1,3,11.0,2,1,3,4.0,0,4.0,0,4.0,0,3,1,1.0,1,22609.0,0
21.0,1,1,11.0,1,2,3,4.0,0,5.0,3,3.0,0,3,1,1.0,1,21651.0,1
45.0,1,3,7.0,3,1,4,4.0,1,5.0,1,7.0,1,1,1,2.0,2,24132.0,0
27.0,1,1,23.0,1,2,2,3.0,0,4.0,1,1.0,1,4,0,0.0,1,18058.0,0
34.0,0,1,15.0,2,2,3,3.0,1,5.0,1,5.0,0,3,0,1.0,2,20346.0,1
35.0,1,3,24.0,3,2,3,3.0,1,5.0,1,1.0,0,3,0,0.0,2,17144.0,0
26.0,1,1,30.0,1,2,3,5.0,0,3.0,2,2.0,1,3,0,1.0,1,17340.0,1
34.0,2,1,,3,1,2,4.0,0,5.0,2,2.0,0,2,1,1.0,1,,0
31.0,0,3,33.0,3,0,3,5.0,1,5.0,3,7.0,0,1,1,2.0,2,25374.0,1
42.0,0,1,16.0,3,2,4,4.0,2,3.0,1,,0,4,1,3.0,4,38097.0,0
34.0,1,1,14.0,2,1,2,3.0,1,5.0,1,4.0,0,5,1,1.0,2,20121.0,0
19.0,0,1,16.0,3,1,3,4.0,0,4.0,2,2.0,1,5,1,1.0,1,16859.0,1
49.0,1,1,22.0,3,1,4,4.0,3,3.0,1,,0,3,0,1.0,3,36943.0,1
28.0,0,1,30.0,1,2,3,4.0,3,5.0,3,2.0,0,2,0,0.0,3,23722.0,1
34.0,0,3,8.0,3,1,3,3.0,0,3.0,0,7.0,0,5,1,2.0,1,17231.0,0
37.0,1,1,8.0,0,2,3,4.0,0,3.0,2,7.0,1,3,0,0.0,1,17090.0,1
23.0,1,1,12.0,2,2,3,2.0,0,4.0,1,3.0,1,4,1,1.0,1,21006.0,0
57.0,0,1,16.0,3,1,4,4.0,0,3.0,0,4.0,0,2,0,1.0,1,21620.0,0
,1,1,6.0,1,1,2,3.0,0,5.0,1,3.0,0,4,0,0.0,1,18580.0,0
43.0,1,3,15.0,3,1,2,5.0,1,3.0,2,1.0,0,2,1,1.0,2,20346.0,1
27.0,1,3,11.0,3,2,3,5.0,1,3.0,3,3.0,1,2,1,2.0,2,24506.0,1
35.0,1,1,14.0,2,1,3,4.0,3,4.0,2,2.0,0,3,1,1.0,3,30672.0,0
48.0,1,3,21.0,3,1,4,4.0,1,3.0,0,5.0,1,5,1,1.0,2,23269.0,0
58.0,1,1,29.0,3,1,3,3.0,3,3.0,1,2.0,0,3,1,0.0,3,25312.0,1
32.0,1,3,13.0,2,2,3,4.0,1,3.0,1,2.0,0,3,1,0.0,2,20484.0,0
,0,1,10.0,1,2,3,4.0,0,3.0,2,6.0,0,5,0,0.0,1,,1
53.0,1,1,8.0,3,2,2,1.0,4,4.0,2,5.0,0,1,1,0.0,0,31598.0,0
36.0,1,3,25.0,3,1,3,4.0,1,3.0,1,3.0,0,4,1,2.0,2,23279.0,0
36.0,1,1,12.0,2,1,2,1.0,0,3.0,1,4.0,0,1,0,0.0,1,18038.0,0
32.0,0,3,12.0,3,1,3,4.0,0,4.0,1,3.0,0,3,0,2.0,1,21467.0,0
39.0,1,3,21.0,2,2,4,4.0,1,4.0,1,2.0,0,5,1,3.0,2,28602.0,0
46.0,1,1,9.0,2,1,4,5.0,0,3.0,2,3.0,0,3,1,1.0,1,20952.0,0
35.0,0,1,17.0,3,2,3,4.0,3,5.0,0,3.0,1,5,1,1.0,3,24884.0,0
39.0,0,1,13.0,3,2,2,4.0,2,3.0,1,2.0,0,5,1,0.0,4,34272.0,0
42.0,0,1,11.0,2,2,3,3.0,0,3.0,1,5.0,0,3,0,1.0,1,17093.0,0
29.0,1,3,29.0,2,1,2,4.0,3,5.0,1,2.0,0,3,1,1.0,3,22336.0,1
23.0,1,1,22.0,3,1,3,4.0,0,3.0,3,3.0,0,2,1,2.0,1,21549.0,0
43.0,1,1,9.0,2,2,4,5.0,1,3.0,3,5.0,0,2,0,2.0,2,25459.0,0
29.0,1,1,31.0,2,2,3,5.0,0,3.0,2,7.0,1,1,0,1.0,1,20706.0,1
36.0,1,3,7.0,3,2,3,5.0,1,5.0,3,2.0,0,1,1,2.0,2,22990.0,0
42.0,1,1,,3,2,2,5.0,1,3.0,2,5.0,0,3,1,0.0,2,,0
28.0,1,1,23.0,1,1,3,4.0,0,4.0,1,2.0,0,1,1,1.0,1,21489.0,0
23.0,1,1,15.0,2,2,4,6.0,0,5.0,0,3.0,0,2,1,1.0,1,21129.0,0
41.0,0,1,23.0,2,2,4,4.0,0,3.0,1,2.0,0,3,1,3.0,1,22222.0,0
31.0,0,1,6.0,2,2,2,,1,5.0,1,2.0,0,1,1,1.0,2,20003.0,0
46.0,1,1,14.0,3,1,3,4.0,0,3.0,1,6.0,1,3,0,2.0,1,23155.0,0
40.0,1,3,16.0,1,1,2,4.0,1,4.0,1,1.0,0,5,1,0.0,2,21852.0,0
35.0,1,1,26.0,2,1,3,5.0,0,3.0,1,3.0,0,4,1,2.0,1,21607.0,0
39.0,1,3,10.0,2,1,2,4.0,1,3.0,1,5.0,0,5,1,1.0,2,20902.0,0
31.0,1,3,12.0,2,2,3,5.0,1,3.0,1,5.0,1,3,0,2.0,2,21172.0,1
54.0,1,3,8.0,2,1,2,4.0,3,3.0,0,7.0,0,5,1,0.0,3,25686.0,0
31.0,1,3,12.0,2,1,3,4.0,3,3.0,0,4.0,0,4,1,2.0,3,28097.0,0
31.0,1,1,23.0,2,2,3,2.0,1,3.0,1,5.0,0,1,1,1.0,2,23972.0,0
34.0,0,1,9.0,2,2,2,4.0,0,3.0,1,4.0,0,1,0,0.0,1,17979.0,0
37.0,0,1,,3,1,3,3.0,1,3.0,1,4.0,1,3,1,2.0,2,,0
,0,1,9.0,2,1,2,3.0,0,3.0,2,2.0,0,4,1,1.0,1,,1
